month;avg_temp;avg_count
2011-01;23224,00;54.65
2011-02;48884,00;73.64
2011-03;46187,00;86.85
2011-04;17.78;111.03
2011-05;21.53;174.81
2011-06;28.19;196.88
2011-07;29.97;203.61
2011-08;29.67;182.67
2011-09;25.14;174.62
2011-10;46285,00;174.77
2011-11;46128,00;155.46
2011-12;46277,00;134.17
2012-01;36434,00;124.35
2012-02;46357,00;145.65
2012-03;46220,00;208.28
2012-04;19.66;257.46
2012-05;23.82;264.11
2012-06;25.94;287.19
2012-07;31.72;267.04
2012-08;29.81;285.57
2012-09;26.41;292.6
2012-10;20.96;280.51
2012-11;14.33;231.98
2012-12;14.77;217.05
